full_text,image_url,label_text,label_gambar,label_gabungan
 300 rb ha dari 4.2 jt ha. Kerugian neg. Rp700 T. Terbanyak di SumSel. Ke 2 di Riau. Ke 3 di Sumut. Perintah Presiden🇲🇨ASLI disita utk negara. Neg akan klaim ganti rugi kpd pelaku bangsatdi dor aja pak! Tapi berat juga sih kalo ada bintang yg beking ,https://pbs.twimg.com/media/GufEzK6aoAAn4dV.jpg,1,1,1.0
 4.8/5 ini griptoknya lucu banget ga sih kucing atau anjingnya pada gendut-gendutt jadi makin gemes  ,https://pbs.twimg.com/media/Ge4o2Qwb0AAWOo8.png,1,0,1.0
 : Ayah : Gue. : (Minum air kelapa) : Ce naha kayak monyet upin ipin. : Pa maksud coba? : Kayak anak monyet atuh. : Berarti ayah bapak monyet. : (Melempar kulit pisang ke gue). ,https://pbs.twimg.com/media/FYvjhMNVQAA7P20.jpg,0,0,0.0
 : Kakinya panjang : Mungkinkah itu tawon? Just bangsat #mattan_anime ,https://pbs.twimg.com/media/Gu6g7fyWsAEPB2O.jpg,1,0,1.0
 : Kalau gak ada mahar sertifikat rumah gausa nikah.. Klo gw jd mas'nya uda gw jawab ‍ : Lu nuntut sertifikat rumah emang barang lu garansi IBOX dan barang lu spek LISA BLACK PINK ? spek kampungan aja minta lebih msh untung gw nikahin Hiyahiyahiya ,https://pbs.twimg.com/media/Fi0K6z2akAg5nc-.jpg,0,0,0.0
 : Sir laper : Salah siapa diet : Aku gak mau gendut Sir :( : Ya sudah tidak usah makan sekalian : Jahat nya :( : Sir ngapain kupas apel? Laper? : Sir kalo laper mam aku saja : Diamlah! Apel ini untukmu : Suapin ,https://pbs.twimg.com/media/GfPq2DIawAAB4fT.jpg,1,0,1.0
 : buk temen ku sering mengejek ku 'mata sipit mata minimalis'. : gpp dek yg di katakan temen mu memang benar. : haa? :( ,https://pbs.twimg.com/media/GA_w4oEa4AA94y2.jpg,0,1,0.0
 : ganteng banget pacar gue : emang yang mana pacar lo? : yang rambut item ,https://pbs.twimg.com/media/Faf0w6RUcAASYHK.jpg,0,0,0.0
 : jadi ini pacar cina : pacar siapa yang cina? Me : yang sebelah lo kan itu tuh de terus lo kan juga itu kan jadi itu tu pacar itu tu gitu? @victormci @Jonathan_Alden9 #TSunriseWithViden ,https://pbs.twimg.com/media/Fc3ICuuaUAAKawZ.jpg,0,0,0.0
 : wah jus sirsak iki opo susu sapi ya? wes lah gas : bajingan susu s26 adiku dilebokke frezeer ,https://pbs.twimg.com/media/Fk329kpagAIVHy-.jpg,0,0,0.0
 @CaptWilliamT si paling CAPTMEK ciri khasnya typing alay &amp; cekikikan trs dari awal sampe akhir konsisten kuproy &amp; kocak. SUMPAH u gabisa afh temenan di akun erfeh makasih udh syg ma kite (affhh iyyh) sehat terus ya capt ter-bestie. AKUR AMA CI ES TILL JANNAH!!! ,https://pbs.twimg.com/media/FlGx6akagAE2VdF.jpg,0,0,0.0
 AYANKKK LU PGN NGE BUB GUAKAN? GUA JUGAAA BENER BENER DAH KAYAK SILUMAN LOVE AYANK MAAF JADI MONYET DULU ,https://pbs.twimg.com/media/Fde-UUFaAAIGXY-.jpg,0,0,0.0
 Ada sapi gendut masuk rumah tolonggggggg ,https://pbs.twimg.com/media/FkV73f4UEAUqFJs.jpg,1,0,1.0
 Aku nemu helm ini kayaknya aku mirip monyet upin ipin deh ,https://pbs.twimg.com/media/GChnftrb0AAeb7g.jpg,0,0,0.0
 Aku nemu helm ini kayaknya aku mirip monyet upin ipin deh ,https://pbs.twimg.com/media/GChnftrb0AAeb7g.jpg,0,1,0.0
 Aku nemu helm ini kayaknya aku mirip monyet upin ipin deh ,https://pbs.twimg.com/media/GChnftrb0AAeb7g.jpg,0,1,0.0
 Ananda diganti bulan depan karena test pertama nya berhasil BAJINGAN KLO GITU NGAPAIN GW UCAPIN SELAMAT TINGGAL KE MOOTS' TERCINTA KU PANITIA EEK ,https://pbs.twimg.com/media/FlC6hXXaYAEZyC7.jpg,0,0,0.0
 Anjir ini lu yg skrang gendut banget gilaa ,https://pbs.twimg.com/media/FkeQt8VUcAAxC-L.jpg,1,0,1.0
 BASIC BINGIT SIH MBAK HALAH TOLOL LU !! ,https://pbs.twimg.com/media/FlHc1DYagAEZqil.jpg,1,0,1.0
 BASIC BINGIT SIH MBAK HALAH TOLOL LU !! ,https://pbs.twimg.com/media/FlHc1DYagAEZqil.jpg,1,1,1.0
 BRUNEI 21 Jum'at 29 Desember 2023 Prize 1 : 6244 Prize 2 : 5950 Prize 3 : 8667 Shio : Monyet Selamat Kepada Pemenang #Judototo #judototo88 #alternatifjudototo #officialjudototo #judototoalternatif #judototoofficial #Situsaman #Daftarjudototo #Loginjudo ,https://pbs.twimg.com/media/GChg8Y7agAAZmbb.jpg,0,0,0.0
 BRUNEI 21 Jum'at 29 Desember 2023 Prize 1 : 6244 Prize 2 : 5950 Prize 3 : 8667 Shio : Monyet Selamat Kepada Pemenang #Judototo #judototo88 #alternatifjudototo #officialjudototo #judototoalternatif #judototoofficial #Situsaman #Daftarjudototo #Loginjudo ,https://pbs.twimg.com/media/GChg8Y7agAAZmbb.jpg,0,0,0.0
 BRUNEI 21 Jum'at 29 Desember 2023 Prize 1 : 6244 Prize 2 : 5950 Prize 3 : 8667 Shio : Monyet Selamat Kepada Pemenang #Judototo #judototo88 #alternatifjudototo #officialjudototo #judototoalternatif #judototoofficial #Situsaman #Daftarjudototo #Loginjudo ,https://pbs.twimg.com/media/GChg8Y7agAAZmbb.jpg,0,0,0.0
 BRUNEI 21 Selasa 12 Desember 2023 Prize 1 : 2332 Prize 2 : 4477 Prize 3 : 8454 Shio : Monyet Selamat Kepada Pemenang #Judototo #judototo88 #alternatifjudototo #officialjudototo #judototoalternatif #judototoofficial #Situsaman #Daftarjudototo #Loginjudototo ,https://pbs.twimg.com/media/GCSDfiGb0AA6LFP.jpg,0,0,0.0
 BRUNEI 21 Selasa 12 Desember 2023 Prize 1 : 2332 Prize 2 : 4477 Prize 3 : 8454 Shio : Monyet Selamat Kepada Pemenang #Judototo #judototo88 #alternatifjudototo #officialjudototo #judototoalternatif #judototoofficial #Situsaman #Daftarjudototo #Loginjudototo ,https://pbs.twimg.com/media/GCSDfiGb0AA6LFP.jpg,0,0,0.0
 BRUNEI 21 Selasa 12 Desember 2023 Prize 1 : 2332 Prize 2 : 4477 Prize 3 : 8454 Shio : Monyet Selamat Kepada Pemenang #Judototo #judototo88 #alternatifjudototo #officialjudototo #judototoalternatif #judototoofficial #Situsaman #Daftarjudototo #Loginjudototo ,https://pbs.twimg.com/media/GCSDfiGb0AA6LFP.jpg,0,0,0.0
 Bantuin itu mamanya mau terima beres doang lu. Yang cape ema lu. Kontol masalahnya dia aja kaga mau gua bantuin NGENTOT. ,https://pbs.twimg.com/media/FfR5VJRaMAIYUup.jpg,1,1,1.0
 Berarti cewek harus putih? Tros yang item cowok gt hah gimana sikk udah kalo lo putih kita tukeran kulit aja biar gw jd cewek yg putih ,https://pbs.twimg.com/media/FdpDoglaIAEeBFZ.jpg,0,1,0.0
 Bias lo yang mana? Oh jelas yang rambut item baju putih ,https://pbs.twimg.com/media/FbAUOeuVsAAcNlv.jpg,1,0,1.0
 Bikin gaduh aja...kampungan ah ,https://pbs.twimg.com/media/Fe_m_t6aMAApy0Z.jpg,0,0,0.0
